nivel,grupo,n_L,n_R,n_sin_lado,bilateral_disponible,odor_left,odor_right,uniform,sham,L_sham,R_sham,U_sham,impar,comun,R_uniform,L_uniform
tipo,DM1_lPN,1,1,0,True,0.005912517406036599,-0.002134822562860239,-3.2430254912396705e-05,0.005607134228628463,0.00030538317740813614,-0.007741956791488702,-0.00563956448354086,0.004023669984448419,-0.003718286807040283,-0.0021023923079478424,0.005944947660948996
tipo,DM2_lPN,0,0,4,False,,,,,,,,,,,
tipo,DM3_adPN,0,0,2,False,,,,,,,,,,,
tipo,DM3_vPN,0,0,2,False,,,,,,,,,,,
tipo,DM4_adPN,0,0,2,False,,,,,,,,,,,
tipo,DM4_vPN,0,0,2,False,,,,,,,,,,,
tipo,DM5_lPN,0,0,7,False,,,,,,,,,,,
tipo,DM6_adPN,0,0,7,False,,,,,,,,,,,
tipo,DNa02,1,1,0,True,-1.5810794624425873e-05,0.01045835099589758,0.004251471751907694,0.00015230469058460884,-0.00016811548520903472,0.01030604630531297,0.0040991670613230845,-0.005237080895261002,0.005068965410051968,0.006206879243989886,-0.00426728254653212
tipo,DP1l_adPN,0,0,2,False,,,,,,,,,,,
tipo,DP1l_vPN,0,0,3,False,,,,,,,,,,,
tipo,DP1m_adPN,0,0,2,False,,,,,,,,,,,
tipo,DP1m_vPN,0,0,4,False,,,,,,,,,,,
tipo,D_adPN,0,0,6,False,,,,,,,,,,,
tipo,Delta7,0,0,42,False,,,,,,,,,,,
tipo,EL,0,0,18,False,,,,,,,,,,,
tipo,EPG,0,0,46,False,,,,,,,,,,,
tipo,EPGt,0,0,4,False,,,,,,,,,,,
tipo,ER1_a,0,0,11,False,,,,,,,,,,,
tipo,ER1_b,0,0,13,False,,,,,,,,,,,
tipo,ER1_c,0,0,4,False,,,,,,,,,,,
tipo,ER2_a,0,0,12,False,,,,,,,,,,,
tipo,ER2_b,0,0,4,False,,,,,,,,,,,
tipo,ER2_c,0,0,20,False,,,,,,,,,,,
tipo,ER2_d,0,0,5,False,,,,,,,,,,,
tipo,ER3a_a,0,0,15,False,,,,,,,,,,,
tipo,ER3a_b,0,0,6,False,,,,,,,,,,,
tipo,ER3a_c,0,0,4,False,,,,,,,,,,,
tipo,ER3a_d,0,0,5,False,,,,,,,,,,,
tipo,ER3d_a,0,0,7,False,,,,,,,,,,,
tipo,ER3d_b,0,0,20,False,,,,,,,,,,,
tipo,ER3d_c,0,0,9,False,,,,,,,,,,,
tipo,ER3d_d,0,0,11,False,,,,,,,,,,,
tipo,ER3d_e,0,0,7,False,,,,,,,,,,,
tipo,ER3m,0,0,18,False,,,,,,,,,,,
tipo,ER3p_a,0,0,14,False,,,,,,,,,,,
tipo,ER3p_b,0,0,4,False,,,,,,,,,,,
tipo,ER3w_a,0,0,7,False,,,,,,,,,,,
tipo,ER3w_b,0,0,18,False,,,,,,,,,,,
tipo,ER3w_c,0,0,6,False,,,,,,,,,,,
tipo,ER4d,0,0,26,False,,,,,,,,,,,
tipo,ER4m,0,0,11,False,,,,,,,,,,,
tipo,ER5,0,0,21,False,,,,,,,,,,,
tipo,ER6,0,0,4,False,,,,,,,,,,,
tipo,ExR1,0,0,4,False,,,,,,,,,,,
tipo,ExR2,0,0,4,False,,,,,,,,,,,
tipo,ExR3,0,0,2,False,,,,,,,,,,,
tipo,ExR4,0,0,2,False,,,,,,,,,,,
tipo,ExR5,0,0,4,False,,,,,,,,,,,
tipo,ExR6,0,0,2,False,,,,,,,,,,,
tipo,ExR7,0,0,4,False,,,,,,,,,,,
tipo,ExR8,0,0,4,False,,,,,,,,,,,
tipo,FB1A,0,0,4,False,,,,,,,,,,,
tipo,FB1B,0,0,4,False,,,,,,,,,,,
tipo,FB1C,0,0,4,False,,,,,,,,,,,
tipo,FB1D,0,0,5,False,,,,,,,,,,,
tipo,FB1E_a,0,0,5,False,,,,,,,,,,,
tipo,FB1E_b,0,0,2,False,,,,,,,,,,,
tipo,FB1F,0,0,2,False,,,,,,,,,,,
tipo,FB1G,0,0,2,False,,,,,,,,,,,
tipo,FB1H,0,0,2,False,,,,,,,,,,,
tipo,FB1I,0,0,2,False,,,,,,,,,,,
tipo,FB1J,0,0,2,False,,,,,,,,,,,
tipo,FB2A,0,0,4,False,,,,,,,,,,,
tipo,FB2B_a,0,0,4,False,,,,,,,,,,,
tipo,FB2B_b,0,0,4,False,,,,,,,,,,,
tipo,FB2C,0,0,5,False,,,,,,,,,,,
tipo,FB2D,0,0,6,False,,,,,,,,,,,
tipo,FB2E,0,0,4,False,,,,,,,,,,,
tipo,FB2F_a,0,0,6,False,,,,,,,,,,,
tipo,FB2F_b,0,0,3,False,,,,,,,,,,,
tipo,FB2F_c,0,0,4,False,,,,,,,,,,,
tipo,FB2F_d,0,0,4,False,,,,,,,,,,,
tipo,FB2G_a,0,0,2,False,,,,,,,,,,,
tipo,FB2G_b,0,0,6,False,,,,,,,,,,,
tipo,FB2H_a,0,0,2,False,,,,,,,,,,,
tipo,FB2H_b,0,0,2,False,,,,,,,,,,,
tipo,FB2I_a,0,0,10,False,,,,,,,,,,,
tipo,FB2I_b,0,0,2,False,,,,,,,,,,,
tipo,FB2J_a,0,0,2,False,,,,,,,,,,,
tipo,FB2J_b,0,0,2,False,,,,,,,,,,,
tipo,FB2J_c,0,0,2,False,,,,,,,,,,,
tipo,FB2K,0,0,9,False,,,,,,,,,,,
tipo,FB2L,0,0,4,False,,,,,,,,,,,
tipo,FB2M_a,0,0,4,False,,,,,,,,,,,
tipo,FB2M_b,0,0,2,False,,,,,,,,,,,
tipo,FB3A,0,0,4,False,,,,,,,,,,,
tipo,FB3C,0,0,13,False,,,,,,,,,,,
tipo,FB3D,0,0,1,False,,,,,,,,,,,
tipo,FB3E,0,0,2,False,,,,,,,,,,,
tipo,FB4A_a,0,0,6,False,,,,,,,,,,,
tipo,FB4A_b,0,0,2,False,,,,,,,,,,,
tipo,FB4B,0,0,2,False,,,,,,,,,,,
tipo,FB4C,0,0,2,False,,,,,,,,,,,
tipo,FB4D_a,0,0,2,False,,,,,,,,,,,
tipo,FB4D_b,0,0,2,False,,,,,,,,,,,
tipo,FB4D_c,0,0,2,False,,,,,,,,,,,
tipo,FB4E_a,0,0,5,False,,,,,,,,,,,
tipo,FB4E_b,0,0,4,False,,,,,,,,,,,
tipo,FB4E_c,0,0,2,False,,,,,,,,,,,
tipo,FB4F_a,0,0,4,False,,,,,,,,,,,
tipo,FB4F_b,0,0,2,False,,,,,,,,,,,
tipo,FB4F_c,0,0,6,False,,,,,,,,,,,
tipo,FB4G,0,0,2,False,,,,,,,,,,,
tipo,FB4H,0,0,2,False,,,,,,,,,,,
tipo,FB4I,0,0,2,False,,,,,,,,,,,
tipo,FB4J,0,0,2,False,,,,,,,,,,,
tipo,FB4K,0,0,4,False,,,,,,,,,,,
tipo,FB4L,0,0,4,False,,,,,,,,,,,
tipo,FB4M,0,0,4,False,,,,,,,,,,,
tipo,FB4N,0,0,2,False,,,,,,,,,,,
tipo,FB4O,0,0,6,False,,,,,,,,,,,
tipo,FB4P_a,0,0,4,False,,,,,,,,,,,
tipo,FB4P_b,0,0,3,False,,,,,,,,,,,
tipo,FB4P_c,0,0,2,False,,,,,,,,,,,
tipo,FB4Q_a,0,0,2,False,,,,,,,,,,,
tipo,FB4Q_b,0,0,2,False,,,,,,,,,,,
tipo,FB4Q_c,0,0,3,False,,,,,,,,,,,
tipo,FB4R,0,0,6,False,,,,,,,,,,,
tipo,FB4X,0,0,2,False,,,,,,,,,,,
tipo,FB4Y,0,0,4,False,,,,,,,,,,,
tipo,FB4Z_a,0,0,8,False,,,,,,,,,,,
tipo,FB4Z_b,0,0,3,False,,,,,,,,,,,
tipo,FB4Z_c,0,0,4,False,,,,,,,,,,,
tipo,FB5A,0,0,4,False,,,,,,,,,,,
tipo,FB5AA,0,0,2,False,,,,,,,,,,,
tipo,FB5AB,0,0,2,False,,,,,,,,,,,
tipo,FB5B,0,0,6,False,,,,,,,,,,,
tipo,FB5C,0,0,3,False,,,,,,,,,,,
tipo,FB5D,0,0,3,False,,,,,,,,,,,
tipo,FB5E,0,0,2,False,,,,,,,,,,,
tipo,FB5F,0,0,2,False,,,,,,,,,,,
tipo,FB5G_a,0,0,4,False,,,,,,,,,,,
tipo,FB5G_b,0,0,2,False,,,,,,,,,,,
tipo,FB5G_c,0,0,2,False,,,,,,,,,,,
tipo,FB5H,0,0,2,False,,,,,,,,,,,
tipo,FB5I,0,0,2,False,,,,,,,,,,,
tipo,FB5J,0,0,2,False,,,,,,,,,,,
tipo,FB5K,0,0,2,False,,,,,,,,,,,
tipo,FB5L,0,0,2,False,,,,,,,,,,,
tipo,FB5M,0,0,2,False,,,,,,,,,,,
tipo,FB5N,0,0,4,False,,,,,,,,,,,
tipo,FB5O,0,0,2,False,,,,,,,,,,,
tipo,FB5P,0,0,4,False,,,,,,,,,,,
tipo,FB5Q,0,0,4,False,,,,,,,,,,,
tipo,FB5R,0,0,4,False,,,,,,,,,,,
tipo,FB5S,0,0,9,False,,,,,,,,,,,
tipo,FB5T,0,0,2,False,,,,,,,,,,,
tipo,FB5U,0,0,4,False,,,,,,,,,,,
tipo,FB5V_a,0,0,6,False,,,,,,,,,,,
tipo,FB5V_c,0,0,5,False,,,,,,,,,,,
tipo,FB5W_a,0,0,6,False,,,,,,,,,,,
tipo,FB5W_b,0,0,3,False,,,,,,,,,,,
tipo,FB5X,0,0,6,False,,,,,,,,,,,
tipo,FB5Y_a,0,0,2,False,,,,,,,,,,,
tipo,FB5Y_b,0,0,2,False,,,,,,,,,,,
tipo,FB5Z,0,0,4,False,,,,,,,,,,,
tipo,FB6A_a,0,0,2,False,,,,,,,,,,,
tipo,FB6A_b,0,0,2,False,,,,,,,,,,,
tipo,FB6A_c,0,0,2,False,,,,,,,,,,,
tipo,FB6B,0,0,2,False,,,,,,,,,,,
tipo,FB6C_a,0,0,2,False,,,,,,,,,,,
tipo,FB6C_b,0,0,6,False,,,,,,,,,,,
tipo,FB6D,0,0,2,False,,,,,,,,,,,
tipo,FB6E,0,0,2,False,,,,,,,,,,,
tipo,FB6F,0,0,2,False,,,,,,,,,,,
tipo,FB6G,0,0,2,False,,,,,,,,,,,
tipo,FB6H,0,0,2,False,,,,,,,,,,,
tipo,FB6I,0,0,2,False,,,,,,,,,,,
tipo,FB6J,0,0,5,False,,,,,,,,,,,
tipo,FB6K,0,0,4,False,,,,,,,,,,,
tipo,FB6L,0,0,3,False,,,,,,,,,,,
tipo,FB6M,0,0,4,False,,,,,,,,,,,
tipo,FB6N,0,0,2,False,,,,,,,,,,,
tipo,FB6O,0,0,2,False,,,,,,,,,,,
tipo,FB6P,0,0,2,False,,,,,,,,,,,
tipo,FB6Q,0,0,2,False,,,,,,,,,,,
tipo,FB6R,0,0,4,False,,,,,,,,,,,
tipo,FB6S,0,0,8,False,,,,,,,,,,,
tipo,FB6T,0,0,4,False,,,,,,,,,,,
tipo,FB6U,0,0,4,False,,,,,,,,,,,
tipo,FB6V,0,0,2,False,,,,,,,,,,,
tipo,FB6W,0,0,2,False,,,,,,,,,,,
tipo,FB6X,0,0,2,False,,,,,,,,,,,
tipo,FB6Y,0,0,2,False,,,,,,,,,,,
tipo,FB6Z,0,0,2,False,,,,,,,,,,,
tipo,FB7A,0,0,6,False,,,,,,,,,,,
tipo,FB7B,0,0,2,False,,,,,,,,,,,
tipo,FB7C,0,0,5,False,,,,,,,,,,,
tipo,FB7D_a,0,0,4,False,,,,,,,,,,,
tipo,FB7D_b,0,0,4,False,,,,,,,,,,,
tipo,FB7E,0,0,6,False,,,,,,,,,,,
tipo,FB7F,0,0,4,False,,,,,,,,,,,
tipo,FB7G,0,0,4,False,,,,,,,,,,,
tipo,FB7H,0,0,2,False,,,,,,,,,,,
tipo,FB7I,0,0,5,False,,,,,,,,,,,
tipo,FB7J,0,0,4,False,,,,,,,,,,,
tipo,FB7K,0,0,4,False,,,,,,,,,,,
tipo,FB7L,0,0,6,False,,,,,,,,,,,
tipo,FB7M,0,0,2,False,,,,,,,,,,,
tipo,FB8A,0,0,2,False,,,,,,,,,,,
tipo,FB8B,0,0,4,False,,,,,,,,,,,
tipo,FB8C,0,0,4,False,,,,,,,,,,,
tipo,FB8D,0,0,2,False,,,,,,,,,,,
tipo,FB8E,0,0,5,False,,,,,,,,,,,
tipo,FB8F_a,0,0,7,False,,,,,,,,,,,
tipo,FB8F_b,0,0,9,False,,,,,,,,,,,
tipo,FB8G,0,0,6,False,,,,,,,,,,,
tipo,FB8H,0,0,6,False,,,,,,,,,,,
tipo,FB8I,0,0,6,False,,,,,,,,,,,
tipo,FB9A,0,0,6,False,,,,,,,,,,,
tipo,FB9C,0,0,8,False,,,,,,,,,,,
tipo,FC,0,0,3,False,,,,,,,,,,,
tipo,FC1A,0,0,17,False,,,,,,,,,,,
tipo,FC1B,0,0,22,False,,,,,,,,,,,
tipo,FC1C_a,0,0,12,False,,,,,,,,,,,
tipo,FC1C_b,0,0,17,False,,,,,,,,,,,
tipo,FC1D,0,0,25,False,,,,,,,,,,,
tipo,FC1E,0,0,22,False,,,,,,,,,,,
tipo,FC1F,0,0,15,False,,,,,,,,,,,
tipo,FC2A,0,0,18,False,,,,,,,,,,,
tipo,FC2B,0,0,27,False,,,,,,,,,,,
tipo,FC2C,0,0,47,False,,,,,,,,,,,
tipo,FC3_a,0,0,17,False,,,,,,,,,,,
tipo,FC3_b,0,0,20,False,,,,,,,,,,,
tipo,FC3_c,0,0,15,False,,,,,,,,,,,
tipo,FR1,0,0,18,False,,,,,,,,,,,
tipo,FR2,0,0,18,False,,,,,,,,,,,
tipo,FS1A_a,0,0,16,False,,,,,,,,,,,
tipo,FS1A_b,0,0,13,False,,,,,,,,,,,
tipo,FS1A_c,0,0,18,False,,,,,,,,,,,
tipo,FS1B_a,0,0,13,False,,,,,,,,,,,
tipo,FS1B_b,0,0,16,False,,,,,,,,,,,
tipo,FS2,0,0,42,False,,,,,,,,,,,
tipo,FS3_a,0,0,15,False,,,,,,,,,,,
tipo,FS3_b,0,0,14,False,,,,,,,,,,,
tipo,FS3_c,0,0,14,False,,,,,,,,,,,
tipo,FS3_d,0,0,31,False,,,,,,,,,,,
tipo,FS4A,0,0,57,False,,,,,,,,,,,
tipo,FS4B,0,0,29,False,,,,,,,,,,,
tipo,FS4C,0,0,28,False,,,,,,,,,,,
tipo,GLNO,0,0,4,False,,,,,,,,,,,
tipo,IbSpsP,0,0,31,False,,,,,,,,,,,
tipo,LAL001,0,0,2,False,,,,,,,,,,,
tipo,LAL002,0,0,2,False,,,,,,,,,,,
tipo,LAL003,0,0,4,False,,,,,,,,,,,
tipo,LAL004,0,0,1,False,,,,,,,,,,,
tipo,LAL006,0,0,6,False,,,,,,,,,,,
tipo,LAL007,0,0,2,False,,,,,,,,,,,
tipo,LAL008,0,0,2,False,,,,,,,,,,,
tipo,LAL009,0,0,2,False,,,,,,,,,,,
tipo,LAL010,0,0,2,False,,,,,,,,,,,
tipo,LAL011,0,0,2,False,,,,,,,,,,,
tipo,LAL012,0,0,2,False,,,,,,,,,,,
tipo,LAL013,0,0,2,False,,,,,,,,,,,
tipo,LAL014,0,0,2,False,,,,,,,,,,,
tipo,LAL015,0,0,2,False,,,,,,,,,,,
tipo,LAL016,0,0,2,False,,,,,,,,,,,
tipo,LAL017,0,0,2,False,,,,,,,,,,,
tipo,LAL018,0,0,2,False,,,,,,,,,,,
tipo,LAL019,0,0,4,False,,,,,,,,,,,
tipo,LAL020,0,0,4,False,,,,,,,,,,,
tipo,LAL021,0,0,8,False,,,,,,,,,,,
tipo,LAL022,0,0,6,False,,,,,,,,,,,
tipo,LAL023,0,0,4,False,,,,,,,,,,,
tipo,LAL024,0,0,2,False,,,,,,,,,,,
tipo,LAL025,0,0,5,False,,,,,,,,,,,
tipo,LAL026_a,0,0,2,False,,,,,,,,,,,
tipo,LAL026_b,0,0,2,False,,,,,,,,,,,
tipo,LAL027,0,0,2,False,,,,,,,,,,,
tipo,LAL028,0,0,3,False,,,,,,,,,,,
tipo,LAL029_a,0,0,2,False,,,,,,,,,,,
tipo,LAL029_b,0,0,2,False,,,,,,,,,,,
tipo,LAL029_c,0,0,2,False,,,,,,,,,,,
tipo,LAL029_d,0,0,2,False,,,,,,,,,,,
tipo,LAL029_e,0,0,2,False,,,,,,,,,,,
tipo,LAL030_a,0,0,6,False,,,,,,,,,,,
tipo,LAL030_b,0,0,6,False,,,,,,,,,,,
tipo,LAL030d,0,0,2,False,,,,,,,,,,,
tipo,LAL031,0,0,4,False,,,,,,,,,,,
tipo,LAL032,0,0,2,False,,,,,,,,,,,
tipo,LAL034,0,0,8,False,,,,,,,,,,,
tipo,LAL035,0,0,4,False,,,,,,,,,,,
tipo,LAL037,0,0,4,False,,,,,,,,,,,
tipo,LAL040,0,0,2,False,,,,,,,,,,,
tipo,LAL042,0,0,2,False,,,,,,,,,,,
tipo,LAL043_a,0,0,4,False,,,,,,,,,,,
tipo,LAL043_b,0,0,2,False,,,,,,,,,,,
tipo,LAL043_c,0,0,2,False,,,,,,,,,,,
tipo,LAL043_d,0,0,2,False,,,,,,,,,,,
tipo,LAL043_e,0,0,2,False,,,,,,,,,,,
tipo,LAL045,0,0,2,False,,,,,,,,,,,
tipo,LAL046,0,0,2,False,,,,,,,,,,,
tipo,LAL047,0,0,2,False,,,,,,,,,,,
tipo,LAL048,0,0,10,False,,,,,,,,,,,
tipo,LAL049,0,0,2,False,,,,,,,,,,,
tipo,LAL050,0,0,8,False,,,,,,,,,,,
tipo,LAL051,0,0,2,False,,,,,,,,,,,
tipo,LAL052,0,0,2,False,,,,,,,,,,,
tipo,LAL053,0,0,2,False,,,,,,,,,,,
tipo,LAL054,0,0,2,False,,,,,,,,,,,
tipo,LAL055,0,0,2,False,,,,,,,,,,,
tipo,LAL056,0,0,6,False,,,,,,,,,,,
tipo,LAL059,0,0,6,False,,,,,,,,,,,
tipo,LAL060_a,0,0,7,False,,,,,,,,,,,
tipo,LAL060_b,0,0,6,False,,,,,,,,,,,
tipo,LAL061,0,0,7,False,,,,,,,,,,,
tipo,LAL063,0,0,2,False,,,,,,,,,,,
tipo,LAL064,0,0,4,False,,,,,,,,,,,
tipo,LAL067,0,0,8,False,,,,,,,,,,,
tipo,LAL071,0,0,8,False,,,,,,,,,,,
tipo,LAL072,0,0,2,False,,,,,,,,,,,
tipo,LAL073,0,0,2,False,,,,,,,,,,,
tipo,LAL074,0,0,2,False,,,,,,,,,,,
tipo,LAL075,0,0,2,False,,,,,,,,,,,
tipo,LAL076,0,0,2,False,,,,,,,,,,,
tipo,LAL081,0,0,2,False,,,,,,,,,,,
tipo,LAL082,0,0,2,False,,,,,,,,,,,
tipo,LAL083,0,0,4,False,,,,,,,,,,,
tipo,LAL084,0,0,2,False,,,,,,,,,,,
tipo,LAL085,0,0,4,False,,,,,,,,,,,
tipo,LAL086,0,0,4,False,,,,,,,,,,,
tipo,LAL087,0,0,10,False,,,,,,,,,,,
tipo,LAL088,0,0,3,False,,,,,,,,,,,
tipo,LAL089,0,0,6,False,,,,,,,,,,,
tipo,LAL090,0,0,10,False,,,,,,,,,,,
tipo,LAL093,0,0,4,False,,,,,,,,,,,
tipo,LAL094,0,0,19,False,,,,,,,,,,,
tipo,LAL096,0,0,16,False,,,,,,,,,,,
tipo,LAL098,0,0,2,False,,,,,,,,,,,
tipo,LAL099,0,0,2,False,,,,,,,,,,,
tipo,LAL100,0,0,2,False,,,,,,,,,,,
tipo,LAL101,0,0,2,False,,,,,,,,,,,
tipo,LAL102,0,0,2,False,,,,,,,,,,,
tipo,LAL104,0,0,4,False,,,,,,,,,,,
tipo,LAL108,0,0,2,False,,,,,,,,,,,
tipo,LAL109,0,0,4,False,,,,,,,,,,,
tipo,LAL110,0,0,10,False,,,,,,,,,,,
tipo,LAL111,0,0,2,False,,,,,,,,,,,
tipo,LAL112,0,0,4,False,,,,,,,,,,,
tipo,LAL113,0,0,4,False,,,,,,,,,,,
tipo,LAL114,0,0,2,False,,,,,,,,,,,
tipo,LAL115,0,0,2,False,,,,,,,,,,,
tipo,LAL116,0,0,2,False,,,,,,,,,,,
tipo,LAL117,0,0,4,False,,,,,,,,,,,
tipo,LAL119,0,0,2,False,,,,,,,,,,,
tipo,LAL120_a,0,0,2,False,,,,,,,,,,,
tipo,LAL120_b,0,0,2,False,,,,,,,,,,,
tipo,LAL121,0,0,2,False,,,,,,,,,,,
tipo,LAL122,0,0,2,False,,,,,,,,,,,
tipo,LAL123,0,0,2,False,,,,,,,,,,,
tipo,LAL124,0,0,2,False,,,,,,,,,,,
tipo,LAL125,0,0,2,False,,,,,,,,,,,
tipo,LAL126,0,0,4,False,,,,,,,,,,,
tipo,LAL127,0,0,4,False,,,,,,,,,,,
tipo,LAL128,0,0,2,False,,,,,,,,,,,
tipo,LAL129,0,0,2,False,,,,,,,,,,,
tipo,LAL130,0,0,2,False,,,,,,,,,,,
tipo,LAL131,0,0,4,False,,,,,,,,,,,
tipo,LAL132_a,0,0,2,False,,,,,,,,,,,
tipo,LAL132_b,0,0,2,False,,,,,,,,,,,
tipo,LAL133_a,0,0,2,False,,,,,,,,,,,
tipo,LAL133_b,0,0,2,False,,,,,,,,,,,
tipo,LAL133_c,0,0,2,False,,,,,,,,,,,
tipo,LAL133_d,0,0,2,False,,,,,,,,,,,
tipo,LAL133_e,0,0,2,False,,,,,,,,,,,
tipo,LAL134,0,0,2,False,,,,,,,,,,,
tipo,LAL135,0,0,2,False,,,,,,,,,,,
tipo,LAL136_a,0,0,5,False,,,,,,,,,,,
tipo,LAL136_b,0,0,7,False,,,,,,,,,,,
tipo,LAL137,0,0,2,False,,,,,,,,,,,
tipo,LAL138,0,0,2,False,,,,,,,,,,,
tipo,LAL139,0,0,2,False,,,,,,,,,,,
tipo,LAL140,0,0,2,False,,,,,,,,,,,
tipo,LAL141,0,0,2,False,,,,,,,,,,,
tipo,LAL142,0,0,2,False,,,,,,,,,,,
tipo,LAL143,0,0,2,False,,,,,,,,,,,
tipo,LAL144,0,0,6,False,,,,,,,,,,,
tipo,LAL145,0,0,4,False,,,,,,,,,,,
tipo,LAL146,0,0,2,False,,,,,,,,,,,
tipo,LAL147_a,0,0,4,False,,,,,,,,,,,
tipo,LAL147_b,0,0,2,False,,,,,,,,,,,
tipo,LAL147_c,0,0,2,False,,,,,,,,,,,
tipo,LAL148,0,0,2,False,,,,,,,,,,,
tipo,LAL149,0,0,4,False,,,,,,,,,,,
tipo,LAL150,0,0,10,False,,,,,,,,,,,
tipo,LAL151,0,0,2,False,,,,,,,,,,,
tipo,LAL152,0,0,2,False,,,,,,,,,,,
tipo,LAL153,0,0,2,False,,,,,,,,,,,
tipo,LAL154,0,0,2,False,,,,,,,,,,,
tipo,LAL155,0,0,4,False,,,,,,,,,,,
tipo,LAL156_a,0,0,2,False,,,,,,,,,,,
tipo,LAL156_b,0,0,2,False,,,,,,,,,,,
tipo,LAL157,0,0,2,False,,,,,,,,,,,
tipo,LAL158,0,0,2,False,,,,,,,,,,,
tipo,LAL159,0,0,2,False,,,,,,,,,,,
tipo,LAL160,0,0,2,False,,,,,,,,,,,
tipo,LAL161,0,0,2,False,,,,,,,,,,,
tipo,LAL162,0,0,2,False,,,,,,,,,,,
tipo,LAL163,0,0,2,False,,,,,,,,,,,
tipo,LAL164,0,0,2,False,,,,,,,,,,,
tipo,LAL165,0,0,2,False,,,,,,,,,,,
tipo,LAL166,0,0,2,False,,,,,,,,,,,
tipo,LAL167,0,0,4,False,,,,,,,,,,,
tipo,LAL168,0,0,2,False,,,,,,,,,,,
tipo,LAL169,0,0,2,False,,,,,,,,,,,
