bodyId,type,class,instance,rootSide,somaSide,nt_consensus_nt
10697,LHAV3b12,,LHAV3b12_L,,L,acetylcholine
10702,M_l2PNl20,ALPN,M_l2PNl20_L,,L,acetylcholine
10704,MBON11,MBON,MBON11(y1pedc>a/B)_L,,L,gaba
10716,DC3_adPN,ALPN,DC3_adPN_L,,L,acetylcholine
10725,LAL047,,LAL047_L,,L,gaba
10736,VP2_adPN,ALPN,VP2_adPN_L,,L,acetylcholine
10744,FB5A,CX,FB5A_R,,R,gaba
10756,VC2_lPN,ALPN,VC2_lPN_R,,R,acetylcholine
10767,DL5_adPN,ALPN,DL5_adPN_L,,L,acetylcholine
10786,VC5_lvPN,ALPN,VC5_lvPN_R,,R,acetylcholine
10804,MBON20,MBON,MBON20(y1y2)_R,,R,gaba
10808,VC1_lPN,ALPN,VC1_lPN_L,,L,acetylcholine
10816,MBON31,MBON,MBON31(a'1a)_L,,L,gaba
10817,PFNv,CX,PFNv(PB05)_L4_C3,,L,acetylcholine
10826,MBON21,MBON,MBON21(y4y5)_L,,L,acetylcholine
10830,LAL159,,LAL159_L,,L,acetylcholine
10835,vLN24,ALLN,vLN24_R,,R,acetylcholine
10868,LAL083,,LAL083_R,,R,glutamate
10877,VA6_adPN,ALPN,VA6_adPN_L,,L,acetylcholine
10904,VC1_lPN,ALPN,VC1_lPN_R,,R,acetylcholine
10905,lLN1_bc,ALLN,lLN1_bc_L,,L,acetylcholine
10906,VM3_adPN,ALPN,VM3_adPN_R,,R,acetylcholine
10929,lLN2T_a,ALLN,lLN2T_a(Tortuous)_R,,R,acetylcholine
10942,lLN2T_a,ALLN,lLN2T_a(Tortuous)_R,,R,acetylcholine
10962,LAL026_a,,LAL026_a_L,,L,acetylcholine
10969,ExR4,CX,ExR4_L,,L,glutamate
10973,VP1m+VP5_ilPN,ALPN,VP1m+VP5_ilPN_L,,L,acetylcholine
10996,VA4_lPN,ALPN,VA4_lPN_R,,R,acetylcholine
11001,LHMB1,,LHMB1_R,,R,glutamate
11004,LAL194,,LAL194_L,,L,acetylcholine
11012,LAL157,,LAL157_L,,L,acetylcholine
11026,LAL009,,LAL009_R,,R,acetylcholine
11030,LHCENT3,,LHCENT3_L,,L,gaba
11042,LHCENT10,,LHCENT10_L,,L,gaba
11050,VP1d+VP4_l2PN1,ALPN,VP1d+VP4_l2PN1_L,,L,acetylcholine
11053,LPsP,CX,LPsP(PB13)_L,,L,acetylcholine
11054,LAL015,,LAL015_L,,L,acetylcholine
11058,M_smPN6t2,ALPN,M_smPN6t2_L,,L,gaba
11080,DM2_lPN,ALPN,DM2_lPN_L,,L,acetylcholine
11083,FB6C_b,CX,FB6C_b_R,,R,glutamate
11092,DM2_lPN,ALPN,DM2_lPN_L,,L,acetylcholine
11099,lLN1_bc,ALLN,lLN1_bc_L,,L,acetylcholine
11105,VC2_lPN,ALPN,VC2_lPN_L,,L,acetylcholine
11112,LHCENT9,,LHCENT9_L,,L,gaba
11123,ALBN1,ALLN,ALBN1_R,,R,unclear
11135,DA4m_adPN,ALPN,DA4m_adPN_L,,L,acetylcholine
11141,M_spPN4t9,ALPN,M_spPN4t9_R,,R,acetylcholine
11143,VP1m_l2PN,ALPN,VP1m_l2PN_L,,L,acetylcholine
11145,MBON20,MBON,MBON20(y1y2)_L,,L,gaba
11151,ORN_VA1v,olfactory,ORN_VA1v_R,R,,acetylcholine
11174,LHCENT8,,LHCENT8_R,,R,gaba
11176,MBON26,MBON,MBON26(b'2d)_R,,R,acetylcholine
11184,Delta7,CX,Delta7(PB15)_L1L9R8_R,,R,glutamate
11186,LAL183,,LAL183_L,,L,acetylcholine
11190,LHCENT4,,LHCENT4_L,,L,glutamate
11195,M_spPN5t10,ALPN,M_spPN5t10_L,,L,acetylcholine
11197,FB6I,CX,FB6I_L,,L,glutamate
11199,LAL123,,LAL123_R,,R,unclear
11210,LHCENT8,,LHCENT8_L,,L,gaba
11226,LHCENT10,,LHCENT10_L,,L,gaba
11229,V_ilPN,ALPN,V_ilPN_R,,R,acetylcholine
11244,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
11245,LAL156_a,,LAL156_a_L,,L,acetylcholine
11255,FB1C,CX,FB1C_L,,L,dopamine
11262,lLN1_bc,ALLN,lLN1_bc_L,,L,acetylcholine
11271,LHCENT14,,LHCENT14_L,,L,glutamate
11280,LAL205,,LAL205(hb5813054853)_R,,R,gaba
11281,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
11283,VA1v_adPN,ALPN,VA1v_adPN_L,,L,acetylcholine
11289,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
11292,lLN1_bc,ALLN,lLN1_bc_L,,L,acetylcholine
11294,lLN2T_e,ALLN,lLN2T_e(Tortuous)_L,,L,acetylcholine
11307,EPG,CX,EPG(PB08)_L4,,L,acetylcholine
11323,LHAV1e1,,LHAV1e1_L,,L,gaba
11326,ExR5,CX,ExR5_R,,R,glutamate
11340,ExR7,CX,ExR7_R,,R,acetylcholine
11341,LHCENT2,,LHCENT2_R,,R,gaba
11342,lLN2X04,ALLN,lLN2X04_R,,R,acetylcholine
11345,lLN2X11,ALLN,lLN2X11_R,,R,acetylcholine
11351,LAL108,,LAL108(LAL125)_R,,R,glutamate
11355,VA1d_adPN,ALPN,VA1d_adPN_R,,R,acetylcholine
11359,lLN2T_e,ALLN,lLN2T_e(Tortuous)_L,,L,acetylcholine
11379,lLN2T_e,ALLN,lLN2T_e(Tortuous)_R,,R,acetylcholine
11390,VL1_ilPN,ALPN,VL1_ilPN_R,,R,acetylcholine
11399,lLN2T_d,ALLN,lLN2T_d(Tortuous)_L,,L,unclear
11400,lLN1_bc,ALLN,lLN1_bc_L,,L,acetylcholine
11402,MBON11,MBON,MBON11(y1pedc>a/B)_R,,R,gaba
11405,LAL016,,LAL016_R,,R,acetylcholine
11409,VP4+VL1_l2PN,ALPN,VP4+VL1_l2PN_L,,L,acetylcholine
11416,LAL083,,LAL083_R,,R,glutamate
11418,LHPV4a10,,LHPV4a10_L,,L,glutamate
11433,ExR1,CX,ExR1_L,,L,acetylcholine
11449,M_spPN5t10,ALPN,M_spPN5t10_R,,R,acetylcholine
11455,MBON32,MBON,MBON32(y2)_L,,L,gaba
11457,LAL108,,LAL108(LAL125)_L,,L,glutamate
11467,VA4_lPN,ALPN,VA4_lPN_L,,L,acetylcholine
11469,DM3_adPN,ALPN,DM3_adPN_R,,R,acetylcholine
11471,VA1d_adPN,ALPN,VA1d_adPN_L,,L,acetylcholine
11477,LHPV6q1,,LHPV6q1_R,,R,unclear
11478,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
11490,LAL073,,LAL073_R,,R,glutamate
11497,LNO2,CX,LNO2_L,,L,glutamate
11501,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
11503,EPG,CX,EPG(PB08)_R8,,R,acetylcholine
11504,LHPD5a1,,LHPD5a1_L,,L,glutamate
11512,hDeltaB,CX,hDeltaB_08_C7,,L,acetylcholine
11514,DL4_adPN,ALPN,DL4_adPN_R,,R,acetylcholine
11516,LCNOpm,CX,LCNOpm(LAL-NO3pm)_L,,L,glutamate
11517,lLN2T_c,ALLN,lLN2T_c(Tortuous)_L,,L,acetylcholine
11521,VP1m_l2PN,ALPN,VP1m_l2PN_R,,R,acetylcholine
11523,lLN1_bc,ALLN,lLN1_bc_L,,L,acetylcholine
11525,LHPD4c1,,LHPD4c1_L,,L,acetylcholine
11531,lLN1_bc,ALLN,lLN1_bc_L,,L,acetylcholine
11546,v2LN30,ALLN,v2LN30_L,,L,unclear
11556,lLN2T_d,ALLN,lLN2T_d(Tortuous)_L,,L,unclear
11557,PFL2,CX,PFL2(PB12b)_L3_C7,,L,acetylcholine
11564,DA1_lPN,ALPN,DA1_lPN_L,,L,acetylcholine
11583,VP1d+VP4_l2PN2,ALPN,VP1d+VP4_l2PN2_L,,L,acetylcholine
11594,lLN2X11,ALLN,lLN2X11_L,,L,acetylcholine
11603,lLN2P_a,ALLN,lLN2P_a_R,,R,gaba
11605,ER5,CX,ER5_R,,R,gaba
11606,LHCENT8,,LHCENT8_R,,R,gaba
11615,LHPV6l2,,LHPV6l2_L,,L,glutamate
11619,v2LN31,ALLN,v2LN31_L,,L,unclear
11620,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
11624,DC2_adPN,ALPN,DC2_adPN_R,,R,acetylcholine
11636,LAL126,,LAL126_L,,L,glutamate
11659,LAL161,,LAL161_R,,R,acetylcholine
11673,PFL2,CX,PFL2(PB12b)_R4_C2,,R,acetylcholine
11682,LHCENT10,,LHCENT10_R,,R,gaba
11688,LHPV3c1,,LHPV3c1_L,,L,acetylcholine
11691,LHCENT11,,LHCENT11_R,,R,acetylcholine
11695,LHPV6j1,,LHPV6j1_L,,L,acetylcholine
11703,VM1_lPN,ALPN,VM1_lPN_L,,L,acetylcholine
11721,DA1_lPN,ALPN,DA1_lPN_L,,L,acetylcholine
11722,v2LN30,ALLN,v2LN30_R,,R,unclear
11725,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
11736,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
11744,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
11745,PFL1,CX,PFL1(PB12a)_L1_C8_irreg,,R,acetylcholine
11749,M_l2PNl21,ALPN,M_l2PNl21_L,,L,acetylcholine
11750,LAL083,,LAL083_L,,L,glutamate
11761,VP1d+VP4_l2PN1,ALPN,VP1d+VP4_l2PN1_R,,R,acetylcholine
11777,MBON15,MBON,MBON15(a'1)_R,,R,acetylcholine
11779,LAL190,,LAL190_L,,L,acetylcholine
11780,DA1_lPN,ALPN,DA1_lPN_R,,R,acetylcholine
11783,lLN1_bc,ALLN,lLN1_bc_L,,L,acetylcholine
11785,MBON33,MBON,MBON33(y2y3)_L,,L,acetylcholine
11786,PFL1,CX,PFL1(PB12a)_L6_C7,,L,acetylcholine
11788,lLN2T_d,ALLN,lLN2T_d(Tortuous)_R,,R,unclear
11795,LAL083,,LAL083_L,,L,glutamate
11805,MBON31,MBON,MBON31(a'1a)_R,,R,gaba
11816,DA1_lPN,ALPN,DA1_lPN_R,,R,acetylcholine
11817,VA5_lPN,ALPN,VA5_lPN_L,,L,acetylcholine
11828,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
11829,DL4_adPN,ALPN,DL4_adPN_L,,L,acetylcholine
11837,lLN2X05,ALLN,lLN2X05_L,,L,acetylcholine
11840,LHPV5i1,,LHPV5i1_L,,L,acetylcholine
11847,LHAV2n1,,LHAV2n1_L,,L,gaba
11870,lLN1_bc,ALLN,lLN1_bc_L,,L,acetylcholine
11873,MBON14,MBON,MBON14(a3)_L,,L,acetylcholine
11874,EPG,CX,EPG(PB08)_L7,,L,acetylcholine
11878,LAL183,,LAL183_R,,R,acetylcholine
11886,ExR1,CX,ExR1_R,,R,acetylcholine
11891,LAL139,,LAL139_L,,L,gaba
11903,LHPV3c1,,LHPV3c1_R,,R,acetylcholine
11914,lLN2X05,ALLN,lLN2X05_R,,R,acetylcholine
11922,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
11924,LAL304m,,LAL304m_R,,R,acetylcholine
11930,M_imPNl92,ALPN,M_imPNl92_L,,L,acetylcholine
11933,ER2_c,CX,ER2_c_R,,R,gaba
11952,lLN2X11,ALLN,lLN2X11_L,,L,acetylcholine
11956,LHAV2d1,,LHAV2d1_L,,L,acetylcholine
11971,LHAV2p1,,LHAV2p1_L,,L,acetylcholine
11975,lLN1_a,ALLN,lLN1_a_L,,L,acetylcholine
11987,EPG,CX,EPG(PB08)_R5,,R,acetylcholine
11989,EPG,CX,EPG(PB08)_L5,,L,acetylcholine
11990,MBON22,MBON,MBON22(calyx)_R,,R,acetylcholine
11991,lLN2X05,ALLN,lLN2X05_L,,L,acetylcholine
11992,lLN1_a,ALLN,lLN1_a_R,,R,acetylcholine
11993,lLN2X05,ALLN,lLN2X05_R,,R,acetylcholine
11994,FB5L,CX,FB5L_R,,R,glutamate
11996,DA1_lPN,ALPN,DA1_lPN_R,,R,acetylcholine
12003,LHCENT10,,LHCENT10_R,,R,gaba
12012,VP4+VL1_l2PN,ALPN,VP4+VL1_l2PN_R,,R,acetylcholine
12023,VA3_adPN,ALPN,VA3_adPN_L,,L,acetylcholine
12031,DC4_adPN,ALPN,DC4_adPN_L,,L,acetylcholine
12037,LHCENT9,,LHCENT9_R,,R,gaba
12050,VA1d_adPN,ALPN,VA1d_adPN_L,,L,acetylcholine
12057,VM3_adPN,ALPN,VM3_adPN_L,,L,acetylcholine
12059,ER5,CX,ER5_R,,R,gaba
12061,DL1_adPN,ALPN,DL1_adPN_L,,L,acetylcholine
12083,FB4B,CX,FB4B_L,,L,glutamate
12104,GLNO,CX,GLNO(LAL-NO1)_L,,L,unclear
12106,FB1G,CX,FB1G_R,,R,acetylcholine
12107,LAL137,,LAL137_L,,L,acetylcholine
12111,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
12121,VC5_lvPN,ALPN,VC5_lvPN_R,,R,acetylcholine
12122,DA1_lPN,ALPN,DA1_lPN_R,,R,acetylcholine
12152,DC2_adPN,ALPN,DC2_adPN_L,,L,acetylcholine
12155,LAL205,,LAL205_L,,L,gaba
12160,DC4_adPN,ALPN,DC4_adPN_R,,R,acetylcholine
12162,LHCENT1,,LHCENT1_L,,L,gaba
12163,VA5_lPN,ALPN,VA5_lPN_R,,R,acetylcholine
12164,VM3_adPN,ALPN,VM3_adPN_R,,R,acetylcholine
12171,DM2_lPN,ALPN,DM2_lPN_R,,R,acetylcholine
12183,LAL207,,LAL207_L,,L,gaba
12206,LAL120_a,,LAL120_a_R,,R,glutamate
12221,FB5A,CX,FB5A_L,,L,gaba
12231,vLN25,ALLN,vLN25_L,,L,glutamate
12241,M_l2PNm16,ALPN,M_l2PNm16_L,,L,acetylcholine
12248,FB6A_a,CX,FB6A_a_R,,R,glutamate
12252,LAL082,,LAL082_L,,L,unclear
12259,LHCENT8,,LHCENT8_L,,L,gaba
12279,M_lvPNm40,ALPN,M_lvPNm40_L,,L,acetylcholine
12284,LHAD4a1,ALIN,LHAD4a1_L,,L,glutamate
12297,LAL169,,LAL169_L,,L,acetylcholine
12298,LAL142,,LAL142_L,,L,gaba
12309,DC3_adPN,ALPN,DC3_adPN_R,,R,acetylcholine
12310,LAL200,,LAL200_R,,R,acetylcholine
12311,FB5D,CX,FB5D_R,,R,glutamate
12312,DC3_adPN,ALPN,DC3_adPN_L,,L,acetylcholine
12314,DA1_lPN,ALPN,DA1_lPN_L,,L,acetylcholine
12320,lLN2X11,ALLN,lLN2X11_R,,R,acetylcholine
12327,LAL142,,LAL142_R,,R,gaba
12332,vLN25,ALLN,vLN25_R,,R,glutamate
12333,FB4M,CX,FB4M(PPM3-FB3/4-NO-DAN)_R,,R,dopamine
12338,lLN1_bc,ALLN,lLN1_bc_L,,L,acetylcholine
12340,DA1_lPN,ALPN,DA1_lPN_R,,R,acetylcholine
12343,LHCENT6,,LHCENT6_L,,L,gaba
12347,LAL141,,LAL141_R,,R,acetylcholine
12351,M_spPN4t9,ALPN,M_spPN4t9_L,,L,acetylcholine
12354,lLN2T_e,ALLN,lLN2T_e(Tortuous)_R,,R,acetylcholine
12357,ER2_c,CX,ER2_c_L,,L,gaba
12358,PEN_a(PEN1),CX,PEN_a(PB06a)_L3,,L,acetylcholine
12359,LCNOpm,CX,LCNOpm(LAL-NO3pm)_R,,R,glutamate
12367,VM3_adPN,ALPN,VM3_adPN_L,,L,acetylcholine
12387,D_adPN,ALPN,D_adPN_R,,R,acetylcholine
12408,LAL200,,LAL200_L,,L,acetylcholine
12425,vLN25,ALLN,vLN25_L,,L,glutamate
12429,LAL190,,LAL190_R,,R,acetylcholine
12437,LAL303m,,LAL303m_L,,L,acetylcholine
12449,EPG,CX,EPG(PB08)_L5,,L,acetylcholine
12454,LHCENT5,,LHCENT5_L,,L,gaba
12460,VA1d_adPN,ALPN,VA1d_adPN_L,,L,acetylcholine
12471,M_lvPNm24,ALPN,M_lvPNm24_L,,L,acetylcholine
12491,M_l2PNm14,ALPN,M_l2PNm14_R,,R,acetylcholine
12506,ExR6,CX,ExR6_L,,L,glutamate
12509,VA3_adPN,ALPN,VA3_adPN_L,,L,acetylcholine
12511,LN60,ALLN,LN60_R,,R,gaba
12534,lLN2X02,ALLN,lLN2X02_R,,R,gaba
12541,LN60,ALLN,LN60_R,,R,gaba
12545,VP4+_vPN,ALPN,VP4+_vPN_L,,L,gaba
12571,LHAV3k1,,LHAV3k1_L,,L,acetylcholine
12572,LHCENT6,,LHCENT6_R,,R,gaba
12603,DA1_vPN,ALPN,DA1_vPN_L,,L,gaba
12606,LHPV1c2,,LHPV1c2_L,,L,acetylcholine
12653,DA1_lPN,ALPN,DA1_lPN_L,,L,acetylcholine
12656,ExR1,CX,ExR1_L,,L,acetylcholine
12667,VA1v_adPN,ALPN,VA1v_adPN_R,,R,acetylcholine
12674,FB6C_a,CX,FB6C_a_R,,R,glutamate
12690,MBON06,MBON,MBON06(B1>a)_L,,L,glutamate
12702,LHPV5e1,,LHPV5e1_R,,R,acetylcholine
12706,ExR3,CX,ExR3_L,,L,serotonin
12711,VA1v_vPN,ALPN,VA1v_vPN_L,,L,gaba
12715,VP5+Z_adPN,ALPN,VP5+Z_adPN_L,,L,acetylcholine
12717,lLN2X12,ALLN,lLN2X12_L,,L,acetylcholine
12724,LAL014,,LAL014_R,,R,acetylcholine
12726,MBON13,MBON,MBON13(a'2)_L,,L,acetylcholine
12728,DC3_adPN,ALPN,DC3_adPN_R,,R,acetylcholine
12732,LHCENT5,,LHCENT5_R,,R,gaba
12735,vLN25,ALLN,vLN25_R,,R,glutamate
12755,LAL182,,LAL182_R,,R,acetylcholine
12756,VA5_lPN,ALPN,VA5_lPN_L,,L,acetylcholine
12763,FB4K,CX,FB4K_L,,L,glutamate
12765,VA1v_vPN,ALPN,VA1v_vPN_R,,R,gaba
12778,LHAD2b1,,LHAD2b1_L,,L,acetylcholine
12782,DL1_adPN,ALPN,DL1_adPN_R,,R,acetylcholine
12797,ER4m,CX,ER4m_R,,R,gaba
12802,FB4B,CX,FB4B_R,,R,glutamate
12815,M_lv2PN9t49_a,ALPN,M_lv2PN9t49_a_R,,R,gaba
12837,M_smPN6t2,ALPN,M_smPN6t2_R,,R,gaba
12840,DA4l_adPN,ALPN,DA4l_adPN_L,,L,acetylcholine
12844,FB3A,CX,FB3A_L,,L,glutamate
12859,MBON07,MBON,MBON07(a1)_R,,R,glutamate
12890,VP1l+VP3_ilPN,ALPN,VP1l+VP3_ilPN_R,,R,acetylcholine
12896,OA-VUMa5,ALLN,OA-VUMa5_M,,M,octopamine
12910,LAL051,,LAL051_R,,R,glutamate
12918,MBON22,MBON,MBON22(calyx)_L,,L,acetylcholine
12929,,ALLN,,,L,acetylcholine
12934,M_l2PNl21,ALPN,M_l2PNl21_R,,R,acetylcholine
12936,LAL102,,LAL102_L,,L,gaba
12943,LAL165,,LAL165_R,,R,acetylcholine
12954,LAL172,,LAL172_R,,R,acetylcholine
12958,DL2d_adPN,ALPN,DL2d_adPN_L,,L,acetylcholine
12965,M_l2PN10t19,ALPN,M_l2PN10t19_L,,L,acetylcholine
12974,LAL182,,LAL182_L,,L,acetylcholine
12977,lLN2X12,ALLN,lLN2X12_L,,L,acetylcholine
12994,lLN2X12,ALLN,lLN2X12_L,,L,acetylcholine
13018,LHPV10d1,,LHPV10d1_L,,L,acetylcholine
13027,VC5_lvPN,ALPN,VC5_lvPN_L,,L,acetylcholine
13028,M_l2PNl22,ALPN,M_l2PNl22_R,,R,acetylcholine
13031,PFL2,CX,PFL2(PB12b)_R3_C3,,R,acetylcholine
13033,FB5AB,CX,FB5AB_L,,L,acetylcholine
13046,M_vPNml65,ALPN,M_vPNml65_L,,L,gaba
13058,FB1G,CX,FB1G_L,,L,acetylcholine
13064,DA1_lPN,ALPN,DA1_lPN_R,,R,acetylcholine
13067,LAL012,,LAL012_L,,L,acetylcholine
13094,ER4d,CX,ER4d_R,,R,gaba
13095,LHAV2b2_b,,LHAV2b2_b_L,,L,acetylcholine
13101,FB5AB,CX,FB5AB_R,,R,acetylcholine
13116,V_l2PN,ALPN,V_l2PN_R,,R,acetylcholine
13123,LAL111,,LAL111_R,,R,gaba
13127,VA1v_vPN,ALPN,VA1v_vPN_L,,L,gaba
13142,FB5A,CX,FB5A_R,,R,gaba
13143,VA1v_adPN,ALPN,VA1v_adPN_L,,L,acetylcholine
13151,LAL156_b,,LAL156_b_R,,R,acetylcholine
13153,LHCENT1,,LHCENT1_R,,R,gaba
13172,VA1v_vPN,ALPN,VA1v_vPN_R,,R,gaba
13182,LAL120_b,,LAL120_b_R,,R,glutamate
13184,LAL045,,LAL045_R,,R,gaba
13194,M_l2PNl23,ALPN,M_l2PNl23_L,,L,acetylcholine
13198,VA1v_adPN,ALPN,VA1v_adPN_R,,R,acetylcholine
13201,LAL015,,LAL015_R,,R,acetylcholine
13209,DA1_vPN,ALPN,DA1_vPN_R,,R,gaba
13217,EPG,CX,EPG(PB08)_L8,,L,acetylcholine
13219,LAL170,,LAL170_L,,L,acetylcholine
13225,VM7d_adPN,ALPN,VM7d_adPN_R,,R,acetylcholine
13230,VC5_lvPN,ALPN,VC5_lvPN_L,,L,acetylcholine
13240,LAL026_b,,LAL026_b_R,,R,acetylcholine
13252,LHAV3j1,,LHAV3j1_L,,L,acetylcholine
13273,LAL081,,LAL081_R,,R,acetylcholine
13283,VM1_lPN,ALPN,VM1_lPN_R,,R,acetylcholine
13294,M_l2PNm14,ALPN,M_l2PNm14_L,,L,acetylcholine
13301,LAL170,,LAL170_R,,R,acetylcholine
13303,OA-VUMa5,ALLN,OA-VUMa5_M,,M,octopamine
13314,M_vPNml50,ALPN,M_vPNml50_L,,L,gaba
13315,lLN2P_b,ALLN,lLN2P_b_R,,R,gaba
13316,FB5L,CX,FB5L_L,,L,glutamate
13334,VP1m+VP5_ilPN,ALPN,VP1m+VP5_ilPN_R,,R,acetylcholine
13356,VM4_adPN,ALPN,VM4_adPN_L,,L,acetylcholine
13361,LHAV5a8,,LHAV5a8_L,,L,acetylcholine
13371,LAL184,,LAL184_R,,R,acetylcholine
13375,LHAV3f1,,LHAV3f1_L,,L,glutamate
13379,VA1v_adPN,ALPN,VA1v_adPN_R,,R,acetylcholine
13384,LHPV10b1,,LHPV10b1_L,,L,acetylcholine
